"expt.id","expt.date","plate.name","plate.id","well","uid","cell.line","time","drug1","drug1.conc","drug1.units","cell.count","image.time","ch2.pos","orig.cell.count","file_name","ucond"
"VLW001","2020-07-17","V3-11T-D5",118195,"C03","V3-11T-D5_C03","11T",114.9,"bortezomib",1.9965e-05,"M",6,"2020-07-22 04:06:00",88,94,"VLW001/V23-screen/V3-11T-D5/2020-07-22/118195/V23-screen_C03_w1251ED06D-9D6D-4D8D-804C-871860A2EE17.tif","11T_bortezomib"
"VLW001","2020-07-17","V3-11T-D2",118182,"O14","V3-11T-D2_O14","11T",101.3,"cabazitaxel",2.48e-07,"M",38,"2020-07-21 14:30:57",35,73,"VLW001/V23-screen/V3-11T-D2/2020-07-21/118182/V23-screen_O14_w16DF5184E-D308-4389-89B4-DDCA6F5E8572.tif","11T_cabazitaxel"
"VLW001","2020-07-17","V3-11T-D5",118195,"L20","V3-11T-D5_L20","11T",114.9,"control",0,"M",559,"2020-07-22 04:06:00",165,724,"VLW001/V23-screen/V3-11T-D5/2020-07-22/118195/V23-screen_L20_w1BD303F36-576D-47C5-B452-428A806DA47D.tif","11T_control"
"VLW001","2020-07-17","V3-11T-D4",118191,"G14","V3-11T-D4_G14","11T",110,"YM155",1.984e-06,"M",5,"2020-07-21 23:12:01",88,93,"VLW001/V23-screen/V3-11T-D4/2020-07-22/118191/V23-screen_G14_w1B040D75F-1F30-4B55-A4DE-EC3C1D0A325E.tif","11T_YM155"
"VLW001","2020-07-17","V3-16T-D5",118197,"J03","V3-16T-D5_J03","16T",117.3,"bortezomib",1.9965e-05,"M",71,"2020-07-22 06:27:58",153,224,"VLW001/V23-screen/V3-16T-D5/2020-07-22/118197/V23-screen_J03_w1698FCCC3-D054-4612-A90E-8AC9E310D633.tif","16T_bortezomib"
"VLW001","2020-07-17","V3-16T-D2",118185,"O14","V3-16T-D2_O14","16T",105.1,"cabazitaxel",2.48e-07,"M",21,"2020-07-21 18:16:27",53,74,"VLW001/V23-screen/V3-16T-D2/2020-07-21/118185/V23-screen_O14_w165CC2A8B-DA8C-4EF4-B722-26C41B9E09E9.tif","16T_cabazitaxel"
"VLW001","2020-07-17","V3-16T-D5",118197,"M02","V3-16T-D5_M02","16T",117.3,"control",0,"M",488,"2020-07-22 06:27:58",250,738,"VLW001/V23-screen/V3-16T-D5/2020-07-22/118197/V23-screen_M02_w15D57950B-F457-4935-A72C-B85AA6307D24.tif","16T_control"
"VLW001","2020-07-17","V3-16T-D4",118193,"B14","V3-16T-D4_B14","16T",112.3,"YM155",1.984e-06,"M",48,"2020-07-22 01:32:09",184,232,"VLW001/V23-screen/V3-16T-D4/2020-07-22/118193/V23-screen_B14_w171459908-3C37-469F-BFDC-3C6ECDAFCA9E.tif","16T_YM155"
"VLW_V23b","2020-09-18","V3-21T-D5",118627,"F14","V3-21T-D5_F14","21T",120.3,"bortezomib",1.9965e-05,"M",32,"2020-09-23 09:16:36",42,74,"20817836.tif","21T_bortezomib"
"VLW_V23b","2020-09-18","V3-21T-D2",118615,"K14","V3-21T-D2_K14","21T",110.6,"cabazitaxel",2.48e-07,"M",44,"2020-09-22 23:34:24",39,83,"20773424.tif","21T_cabazitaxel"
"VLW_V23b","2020-09-18","V3-21T-D2",118634,"K14","V3-21T-D2_K14","21T",128.1,"cabazitaxel",2.48e-07,"M",33,"2020-09-23 17:03:35",50,83,"20843648.tif","21T_cabazitaxel"
"VLW_V23b","2020-09-18","V3-21T-D5",118627,"N13","V3-21T-D5_N13","21T",120.3,"control",0,"M",190,"2020-09-23 09:16:36",29,219,"20817704.tif","21T_control"
"VLW_V23b","2020-09-18","V3-21T-D4",118623,"B14","V3-21T-D4_B14","21T",117,"YM155",1.984e-06,"M",21,"2020-09-23 05:58:39",5,26,"20803100.tif","21T_YM155"
"VLW_V23b","2020-09-18","V3-29T-D5",118583,"C03","V3-29T-D5_C03","29T",80.9,"bortezomib",1.9965e-05,"M",7,"2020-09-21 17:50:25",34,41,"20673848.tif","29T_bortezomib"
"VLW_V23b","2020-09-18","V3-29T-D2",118616,"K14","V3-29T-D2_K14","29T",111.4,"cabazitaxel",2.48e-07,"M",25,"2020-09-23 00:22:19",8,33,"20777120.tif","29T_cabazitaxel"
"VLW_V23b","2020-09-18","V3-29T-D5",118583,"M13","V3-29T-D5_M13","29T",80.9,"control",0,"M",157,"2020-09-21 17:50:25",4,161,"20675648.tif","29T_control"
"VLW_V23b","2020-09-18","V3-29T-D4",118624,"B14","V3-29T-D4_B14","29T",117.8,"YM155",1.984e-06,"M",22,"2020-09-23 06:46:26",24,46,"20806796.tif","29T_YM155"
